section_id,part_id,revision,sequence,section_type,orientation,page_extent,margin_top_cm,margin_bottom_cm,margin_inner_cm,text_block_width_cm,widest_table_cm,body_font_name,body_font_size_pt,heading_font_name,heading_font_size_pt,leading_unit,leading_value,float_count,caption_count,page_number_style
SEC-CH02,PART-01,1,10,body,portrait,13,2.5,2.5,3.0,15.5,,Times New Roman,12.0,Times New Roman,14.0,pt,18.0,0,0,arabic
SEC-AN-11,PART-07,1,40,annex,portrait,5,2.5,2.5,3.0,15.5,18.0,Times New Roman,12.0,Times New Roman,13.5,pt,18.0,0,0,arabic
SEC-TITLE,PART-00,1,1,front_matter,portrait,2,2.5,2.5,3.0,15.5,,Times New Roman,12.0,Times New Roman,14.0,pt,18.0,0,0,roman
SEC-CH11,PART-04,2,22,body,portrait,8,2.0,2.0,3.0,16.0,,Times New Roman,12.0,Times New Roman,13.0,pt,18.0,0,0,arabic
SEC-AN-01,PART-06,1,29,annex,landscape,6,2.0,2.0,3.0,25.5,26.0,Courier New,12.0,Times New Roman,13.0,pt,18.0,0,0,arabic
SEC-CH07,PART-03,1,17,body,portrait,10,1.9,2.0,3.0,16.0,,Times New Roman,12.0,Times New Roman,13.0,pt,18.0,5,3,arabic
SEC-GLOSSARY,PART-05,1,26,back_matter,portrait,6,2.5,2.5,3.0,15.5,,Times New Roman,12.0,Times New Roman,14.0,pt,18.0,0,0,arabic
SEC-ABSTRACT,PART-00,1,3,front_matter,portrait,2,2.5,2.5,2.9,15.6,,Times New Roman,12.0,Times New Roman,14.0,pt,18.0,0,0,roman
SEC-AN-04,PART-06,2,32,annex,portrait,7,2.0,2.0,3.0,16.2,20.0,Times New Roman,12.5,Times New Roman,13.0,pt,18.0,0,0,arabic
SEC-LOT,PART-00,1,7,front_matter,portrait,2,2.5,2.5,3.0,15.5,,Times New Roman,12.0,Times New Roman,14.0,pt,18.0,0,0,arabic
SEC-CH03,PART-02,1,12,body,portrait,10,2.5,2.5,3.0,15.5,,Times New Roman,12.0,Times New Roman,14.0,mm,5.95,4,1,arabic
SEC-CH15,PART-03,1,20,body,landscape,8,2.0,2.0,3.0,25.2,28.0,Times New Roman,12.0,Times New Roman,13.0,pt,18.0,0,0,arabic
SEC-REF,PART-05,1,25,back_matter,portrait,14,2.5,2.5,3.0,15.5,,Times New Roman,12.0,Times New Roman,14.0,pt,18.0,0,0,arabic
SEC-AN-09,PART-07,1,38,annex,landscape,4,2.5,2.5,3.0,25.0,24.3,Times New Roman,12.0,Times New Roman,14.0,pt,18.0,0,0,arabic
SEC-CH08,PART-03,1,18,body,portrait,11,2.0,2.0,3.0,16.0,,Times New Roman,12.0,Times New Roman,13.0,pt,18.0,0,0,arabic
SEC-DECL,PART-00,1,2,front_matter,portrait,1,2.5,2.5,3.0,15.5,,Times New Roman,12.0,Times New Roman,14.0,pt,18.0,0,0,roman
SEC-AN-07,PART-06,1,35,annex,landscape,5,2.0,2.0,3.0,25.4,25.5,Times New Roman,12.0,Times New Roman,13.0,mm,6.125,0,0,arabic
SEC-CH05,PART-02,1,14,body,portrait,8,2.5,2.5,3.0,15.6,,Times New Roman,11.0,Times New Roman,13.0,pt,18.0,0,0,roman
SEC-ABBREV,PART-00,1,8,front_matter,portrait,2,2.5,2.5,3.0,15.5,,Times New Roman,12.0,Times New Roman,14.0,pt,18.0,0,0,roman
SEC-TOC,PART-00,1,5,front_matter,portrait,4,2.5,2.5,3.0,15.55,,Times New Roman,12.0,Times New Roman,14.0,pt,17.5,0,0,roman
SEC-AN-06,PART-06,1,34,annex,landscape,6,2.0,2.0,2.7,25.9,28.0,Times New Roman,12.0,Times New Roman,13.0,pt,18.0,0,0,arabic
SEC-CH02,PART-01,2,10,body,portrait,14,2.5,2.5,3.0,15.5,,Liberation Serif,12.0,Liberation Serif,14.0,pt,18.0,0,0,arabic
SEC-BIO,PART-05,1,27,back_matter,portrait,1,2.5,2.4,3.0,15.5,,Times New Roman,12.0,Tinos,14.0,pt,18.0,0,0,roman
SEC-AN-15,PART-06,1,37,annex,landscape,4,2.0,2.0,3.0,25.3,24.7,Times New Roman,12.0,Times New Roman,13.0,pt,18.0,0,0,arabic
SEC-AN-02,PART-06,1,30,annex,landscape,5,2.0,2.0,3.0,25.2,24.9,Times New Roman,12.0,Times New Roman,13.0,pt,18.0,0,0,arabic
SEC-CH11,PART-04,1,22,body,portrait,8,2.0,2.0,3.0,16.0,,Liberation Serif,12.0,Times New Roman,13.0,pt,18.0,0,0,arabic
SEC-CH09,PART-03,1,19,body,portrait,10,2.0,2.0,3.0,16.0,,Times New Roman,12.0,Liberation Serif,13.0,pt,24.0,0,0,roman
SEC-AN-13,PART-07,1,42,annex,portrait,6,2.5,2.5,3.0,15.5,,Times New Roman,12.0,Times New Roman,14.0,pt,18.04,0,0,arabic
SEC-ACK,PART-00,1,4,front_matter,portrait,1,2.5,2.5,3.0,15.5,,Times New Roman,12.0,Times New Roman,14.0,mm,6.3,0,0,roman
SEC-CH16,PART-04,1,24,body,portrait,6,2.0,2.0,3.0,16.0,,Times New Roman,12.0,Times New Roman,13.0,pt,18.1,0,0,arabic
