section_id,part_id,template_id,finding
SEC-TITLE,PART-00,TPL-ARCHIVE,none
SEC-DECL,PART-00,TPL-ARCHIVE,none
SEC-ABSTRACT,PART-00,TPL-ARCHIVE,MARGIN_NONCOMPLIANT
SEC-ACK,PART-00,TPL-ARCHIVE,none
SEC-TOC,PART-00,TPL-ARCHIVE,TYPE_AREA_INVALID|LEADING_NONCOMPLIANT
SEC-LOF,PART-00,TPL-ARCHIVE,none
SEC-LOT,PART-00,TPL-ARCHIVE,NUMBERING_INVALID
SEC-ABBREV,PART-00,TPL-ARCHIVE,none
SEC-CH01,PART-01,TPL-ARCHIVE,none
SEC-CH02,PART-01,TPL-ARCHIVE,FONT_NONCOMPLIANT|HEADING_STYLE_INVALID
SEC-CH13,PART-01,TPL-ARCHIVE,TYPE_AREA_INVALID
SEC-CH03,PART-02,TPL-ARCHIVE,LEADING_NONCOMPLIANT|CAPTION_MISSING
SEC-CH04,PART-02,TPL-ARCHIVE,HEADING_STYLE_INVALID|CAPTION_MISSING
SEC-CH05,PART-02,TPL-ARCHIVE,TYPE_AREA_INVALID|FONT_NONCOMPLIANT|NUMBERING_INVALID
SEC-CH14,PART-02,TPL-ARCHIVE,none
SEC-CH06,PART-03,TPL-READING,none
SEC-CH07,PART-03,TPL-READING,MARGIN_NONCOMPLIANT
SEC-CH08,PART-03,TPL-READING,TYPE_AREA_INVALID|HEADING_STYLE_INVALID
SEC-CH09,PART-03,TPL-READING,LEADING_NONCOMPLIANT|HEADING_STYLE_INVALID|NUMBERING_INVALID
SEC-CH15,PART-03,TPL-READING,TYPE_AREA_INVALID
SEC-CH10,PART-04,TPL-READING,HEADING_STYLE_INVALID
SEC-CH11,PART-04,TPL-READING,none
SEC-CH12,PART-04,TPL-READING,MARGIN_NONCOMPLIANT|LEADING_NONCOMPLIANT|CAPTION_MISSING
SEC-CH16,PART-04,TPL-READING,LEADING_NONCOMPLIANT
SEC-REF,PART-05,TPL-ARCHIVE,none
SEC-GLOSSARY,PART-05,TPL-ARCHIVE,MARGIN_NONCOMPLIANT|LEADING_NONCOMPLIANT
SEC-BIO,PART-05,TPL-ARCHIVE,MARGIN_NONCOMPLIANT|HEADING_STYLE_INVALID|NUMBERING_INVALID
SEC-INDEX,PART-05,TPL-ARCHIVE,CAPTION_MISSING
SEC-AN-01,PART-06,TPL-READING,none
SEC-AN-02,PART-06,TPL-READING,none
SEC-AN-03,PART-06,TPL-READING,TYPE_AREA_INVALID
SEC-AN-04,PART-06,TPL-READING,TYPE_AREA_INVALID|FONT_NONCOMPLIANT|HEADING_STYLE_INVALID
SEC-AN-05,PART-06,TPL-READING,FONT_NONCOMPLIANT
SEC-AN-06,PART-06,TPL-READING,MARGIN_NONCOMPLIANT
SEC-AN-07,PART-06,TPL-READING,LEADING_NONCOMPLIANT
SEC-AN-08,PART-06,TPL-READING,CAPTION_MISSING
SEC-AN-15,PART-06,TPL-READING,TYPE_AREA_INVALID
SEC-AN-09,PART-07,TPL-ARCHIVE,none
SEC-AN-10,PART-07,TPL-ARCHIVE,MARGIN_NONCOMPLIANT|TYPE_AREA_INVALID|CAPTION_MISSING
SEC-AN-11,PART-07,TPL-ARCHIVE,HEADING_STYLE_INVALID
SEC-AN-12,PART-07,TPL-ARCHIVE,none
SEC-AN-13,PART-07,TPL-ARCHIVE,none
SEC-AN-14,PART-07,TPL-ARCHIVE,MARGIN_NONCOMPLIANT|FONT_NONCOMPLIANT|HEADING_STYLE_INVALID|CAPTION_MISSING|NUMBERING_INVALID
SEC-AN-16,PART-07,TPL-ARCHIVE,none
