request_id,finding
REQ-01,none
REQ-02,COMMERCIAL_DISTRIBUTION_FLAG
REQ-03,none
REQ-04,THIRD_PARTY_BACKGROUND_UNLICENSED
REQ-05,THIRD_PARTY_BACKGROUND_UNLICENSED|MISSING_MINOR_CONSENT|ALTERATION_DISCLOSURE_MISSING
REQ-06,none
REQ-07,none
REQ-08,none
REQ-09,none
REQ-10,UNLICENSED_CHARACTER_USE|THIRD_PARTY_BACKGROUND_UNLICENSED
REQ-11,none
REQ-12,none
REQ-14,MISSING_MINOR_CONSENT|COMMERCIAL_DISTRIBUTION_FLAG
REQ-15,MISSING_MINOR_CONSENT
REQ-17,UNLICENSED_CHARACTER_USE
REQ-18,none
REQ-19,THIRD_PARTY_BACKGROUND_UNLICENSED
REQ-20,COMMERCIAL_DISTRIBUTION_FLAG
REQ-21,UNLICENSED_CHARACTER_USE
REQ-22,none
REQ-23,THIRD_PARTY_BACKGROUND_UNLICENSED|COMMERCIAL_DISTRIBUTION_FLAG|ALTERATION_DISCLOSURE_MISSING
REQ-24,none
REQ-25,none
REQ-27,COMMERCIAL_DISTRIBUTION_FLAG
REQ-28,THIRD_PARTY_BACKGROUND_UNLICENSED
REQ-29,COMMERCIAL_DISTRIBUTION_FLAG
REQ-30,COMMERCIAL_DISTRIBUTION_FLAG|ALTERATION_DISCLOSURE_MISSING
REQ-32,MISSING_MINOR_CONSENT
