page_id,page_name,section_id,stock_code,finding
PG-01,Front Cover,SEC-01,BRD-250,MARGIN_VIOLATION
PG-02,Inside Cover,SEC-01,BRD-250,MARGIN_VIOLATION|BLEED_SHORT
PG-03,Welcome Letter,SEC-01,BRD-250,DPI_TOO_LOW
PG-04,Kit Map,SEC-01,BRD-250,MARGIN_VIOLATION|INK_OVER
PG-05,Trail Map A,SEC-02,CST-100,none
PG-06,Trail Map B,SEC-02,CST-100,MARGIN_VIOLATION
PG-07,Trail Map C,SEC-02,CST-100,INK_OVER|ELEMENT_COUNT_SHORT
PG-08,Trail Activity 1,SEC-02,CST-100,DPI_TOO_LOW
PG-09,Trail Activity 2,SEC-02,CST-100,none
PG-10,Trail Activity 3,SEC-02,CST-100,none
PG-11,Mission Cards A,SEC-03,BRD-250,none
PG-12,Mission Cards B,SEC-03,BRD-250,ELEMENT_COUNT_SHORT
PG-13,Mission Cards C,SEC-03,BRD-250,ELEMENT_COUNT_SHORT
PG-14,Mission Cards D,SEC-03,BRD-250,INK_OVER
PG-15,Mission Cards E,SEC-03,BRD-250,DPI_TOO_LOW|MARGIN_VIOLATION|ELEMENT_COUNT_SHORT
PG-16,Station Bingo 1,SEC-04,CST-100,none
PG-17,Station Bingo 2,SEC-04,CST-100,ELEMENT_COUNT_SHORT
PG-18,Station Bingo 3,SEC-04,CST-100,MARGIN_VIOLATION|BLEED_SHORT|INK_OVER
PG-19,Mission Cards F,SEC-04,CST-100,none
PG-20,Mission Cards G,SEC-04,CST-100,ELEMENT_COUNT_SHORT
PG-21,Station Activity,SEC-04,CST-100,DPI_TOO_LOW
PG-22,Parent Guide 1,SEC-05,UNC-120,none
PG-23,Parent Guide 2,SEC-05,UNC-120,DPI_TOO_LOW|MARGIN_VIOLATION|INK_OVER
PG-24,Badge Sheet A,SEC-05,UNC-120,none
PG-25,Badge Sheet B,SEC-05,UNC-120,BLEED_SHORT|ELEMENT_COUNT_SHORT
PG-26,Certificate A,SEC-06,UNC-120,DPI_TOO_LOW
PG-27,Certificate B,SEC-06,UNC-120,none
PG-28,Certificate C,SEC-06,UNC-120,INK_OVER|ELEMENT_COUNT_SHORT
PG-29,Reward Activity 1,SEC-06,UNC-120,DPI_TOO_LOW|MARGIN_VIOLATION
PG-30,Reward Activity 2,SEC-06,UNC-120,MARGIN_VIOLATION
PG-31,Trail Map D,SEC-07,CST-100,none
PG-32,Trail Sticker Sheet,SEC-07,CST-100,DPI_TOO_LOW
PG-33,Mission Cards H,SEC-07,CST-100,INK_OVER|ELEMENT_COUNT_SHORT
PG-34,Take-home Guide,SEC-08,BRD-250,none
PG-35,Take-home Badges,SEC-08,BRD-250,MARGIN_VIOLATION
PG-36,Take-home Activity,SEC-08,BRD-250,DPI_TOO_LOW|MARGIN_VIOLATION|INK_OVER|ELEMENT_COUNT_SHORT
