page_id,section_id,page_name,artwork_dpi,placed_scale_pct,margin_in,bleed_in,full_bleed_design,ink_tac_pct,spot_colors,fonts_embedded,element_count,min_element_required
PG-01,SEC-01,Front Cover,360,120,0.05,0.125,True,285,2,True,3,3
PG-02,SEC-01,Inside Front Cover,300,100,0.05,0.0625,True,240,0,True,2,2
PG-03,SEC-01,Back Cover,450,200,0.2,0.0,True,260,0,True,2,2
PG-04,SEC-01,Inside Back Cover,240,80,0.125,0.0,False,300,0,True,1,1
PG-05,SEC-02,Welcome Letter,200,80,0.2,0.0,False,275,0,True,4,4
PG-06,SEC-02,How To Use This Kit,270,100,0.2,0.0,False,270,0,True,5,5
PG-07,SEC-02,Safety Notes,270,120,0.2,0.0,False,260,1,True,3,3
PG-08,SEC-02,Supply Checklist,300,100,0.1,0.125,False,290,0,False,2,4
PG-09,SEC-03,Trail Map North,600,200,0.3,0.0,False,250,1,True,6,6
PG-10,SEC-03,Trail Map South,270,100,0.3,0.0,False,250,0,True,6,6
PG-11,SEC-03,Habitat Spread,300,100,0.06,0.25,True,310,0,True,4,4
PG-12,SEC-03,Landmark Key,300,100,0.09,0.0,False,260,3,True,5,5
PG-13,SEC-03,Compass Practice,450,150,0.2,0.0,False,300,2,True,7,7
PG-14,SEC-03,Field Notes Page,240,120,0.2,0.0,False,260,0,False,3,5
PG-15,SEC-04,Mission Card A,250,100,0.15,0.0,False,280,0,True,8,8
PG-16,SEC-04,Mission Card B,300,120,0.2,0.0,False,260,0,True,8,8
PG-17,SEC-04,Mission Card C,240,100,0.2,0.0,False,260,0,True,8,8
PG-18,SEC-04,Mission Card D,300,100,0.2,0.0,False,281,0,True,8,8
PG-19,SEC-04,Mission Card E,300,100,0.2,0.0,False,260,2,True,6,8
PG-20,SEC-05,Bingo Grid One,300,100,0.125,0.0,False,300,2,True,9,9
PG-21,SEC-05,Bingo Grid Two,300,100,0.0,0.125,True,260,0,True,9,9
PG-22,SEC-05,Bingo Grid Three,300,100,0.0,0.1,True,260,0,True,9,9
PG-23,SEC-05,Bingo Call Sheet,300,100,0.124,0.0,False,260,0,True,9,9
PG-24,SEC-06,Badge Sheet One,300,100,0.2,0.0,False,275,0,True,12,12
PG-25,SEC-06,Badge Sheet Two,200,100,0.05,0.0,False,300,1,False,3,4
PG-26,SEC-06,Badge Backers,255,100,0.13,0.0,False,279,0,True,4,4
PG-27,SEC-07,Completion Certificate,300,100,0.2,0.0,False,260,0,True,2,2
PG-28,SEC-07,Explorer Certificate,300,150,0.2,0.0,False,260,0,True,2,2
PG-29,SEC-07,Certificate Backer,360,120,0.04,0.5,True,260,0,False,2,2
PG-30,SEC-07,Signature Page,300,100,0.2,0.0,False,260,0,True,0,2
PG-31,SEC-08,Word Search,250,100,0.2,0.0,False,280,0,True,5,5
PG-32,SEC-08,Maze Page,225,100,0.11,0.0,False,285,0,True,5,5
PG-33,SEC-08,Colouring Page,300,100,0.2,0.0,False,260,3,True,4,6
PG-34,SEC-09,Sticker Sheet One,240,80,0.02,0.125,True,300,2,True,20,20
PG-35,SEC-09,Sticker Sheet Two,300,100,0.02,0.08,True,260,0,True,20,20
PG-36,SEC-09,Sticker Sheet Three,300,100,0.2,0.25,False,301,0,True,19,20
