page_id,page_name,section_id,press_id,finding
PG-01,Front Cover,SEC-01,PRESS-OFFSET-A,none
PG-02,Inside Front Cover,SEC-01,PRESS-OFFSET-A,BLEED_SHORT
PG-03,Back Cover,SEC-01,PRESS-OFFSET-A,DPI_TOO_LOW|BLEED_SHORT
PG-04,Inside Back Cover,SEC-01,PRESS-OFFSET-A,none
PG-05,Welcome Letter,SEC-02,PRESS-DIGITAL-B,none
PG-06,How To Use This Kit,SEC-02,PRESS-DIGITAL-B,none
PG-07,Safety Notes,SEC-02,PRESS-DIGITAL-B,DPI_TOO_LOW|SPOT_UNSUPPORTED
PG-08,Supply Checklist,SEC-02,PRESS-DIGITAL-B,MARGIN_VIOLATION|INK_OVER_LIMIT|FONT_NOT_EMBEDDED|ELEMENT_COUNT_SHORT
PG-09,Trail Map North,SEC-03,PRESS-OFFSET-A,none
PG-10,Trail Map South,SEC-03,PRESS-OFFSET-A,DPI_TOO_LOW
PG-11,Habitat Spread,SEC-03,PRESS-OFFSET-A,INK_OVER_LIMIT
PG-12,Landmark Key,SEC-03,PRESS-OFFSET-A,MARGIN_VIOLATION|SPOT_UNSUPPORTED
PG-13,Compass Practice,SEC-03,PRESS-OFFSET-A,none
PG-14,Field Notes Page,SEC-03,PRESS-OFFSET-A,DPI_TOO_LOW|FONT_NOT_EMBEDDED|ELEMENT_COUNT_SHORT
PG-15,Mission Card A,SEC-04,PRESS-DIGITAL-B,none
PG-16,Mission Card B,SEC-04,PRESS-DIGITAL-B,none
PG-17,Mission Card C,SEC-04,PRESS-DIGITAL-B,DPI_TOO_LOW
PG-18,Mission Card D,SEC-04,PRESS-DIGITAL-B,INK_OVER_LIMIT
PG-19,Mission Card E,SEC-04,PRESS-DIGITAL-B,SPOT_UNSUPPORTED|ELEMENT_COUNT_SHORT
PG-20,Bingo Grid One,SEC-05,PRESS-OFFSET-A,none
PG-21,Bingo Grid Two,SEC-05,PRESS-OFFSET-A,none
PG-22,Bingo Grid Three,SEC-05,PRESS-OFFSET-A,BLEED_SHORT
PG-23,Bingo Call Sheet,SEC-05,PRESS-OFFSET-A,MARGIN_VIOLATION
PG-24,Badge Sheet One,SEC-06,PRESS-DIGITAL-B,none
PG-25,Badge Sheet Two,SEC-06,PRESS-DIGITAL-B,DPI_TOO_LOW|MARGIN_VIOLATION|INK_OVER_LIMIT|SPOT_UNSUPPORTED|FONT_NOT_EMBEDDED|ELEMENT_COUNT_SHORT
PG-26,Badge Backers,SEC-06,PRESS-DIGITAL-B,none
PG-27,Completion Certificate,SEC-07,PRESS-OFFSET-A,none
PG-28,Explorer Certificate,SEC-07,PRESS-OFFSET-A,DPI_TOO_LOW
PG-29,Certificate Backer,SEC-07,PRESS-OFFSET-A,FONT_NOT_EMBEDDED
PG-30,Signature Page,SEC-07,PRESS-OFFSET-A,ELEMENT_COUNT_SHORT
PG-31,Word Search,SEC-08,PRESS-DIGITAL-B,none
PG-32,Maze Page,SEC-08,PRESS-DIGITAL-B,DPI_TOO_LOW|MARGIN_VIOLATION|INK_OVER_LIMIT
PG-33,Colouring Page,SEC-08,PRESS-DIGITAL-B,SPOT_UNSUPPORTED|ELEMENT_COUNT_SHORT
PG-34,Sticker Sheet One,SEC-09,PRESS-OFFSET-A,none
PG-35,Sticker Sheet Two,SEC-09,PRESS-OFFSET-A,BLEED_SHORT
PG-36,Sticker Sheet Three,SEC-09,PRESS-OFFSET-A,INK_OVER_LIMIT|ELEMENT_COUNT_SHORT
