section_id,finding
SEC-01,none
SEC-02,PROHIBITED_PERSONAL_NARRATIVE
SEC-03,PROTECTED_CLASS_LANGUAGE
SEC-04,PROTECTED_CLASS_LANGUAGE
SEC-05,DISCLAIMER_MISSING
SEC-06,none
SEC-07,PROHIBITED_PERSONAL_NARRATIVE|PROTECTED_CLASS_LANGUAGE|DISCLAIMER_MISSING
SEC-08,PROHIBITED_PERSONAL_NARRATIVE
SEC-09,PROTECTED_CLASS_LANGUAGE|DISCLAIMER_MISSING
SEC-10,none
SEC-11,PROTECTED_CLASS_LANGUAGE|DISCLAIMER_MISSING
SEC-12,PROTECTED_CLASS_LANGUAGE|DISCLAIMER_MISSING
SEC-13,none
SEC-14,PROTECTED_CLASS_LANGUAGE|DISCLAIMER_MISSING
SEC-15,PROTECTED_CLASS_LANGUAGE|DISCLAIMER_MISSING
SEC-16,PROTECTED_CLASS_LANGUAGE|DISCLAIMER_MISSING
SEC-17,PROHIBITED_PERSONAL_NARRATIVE|PROTECTED_CLASS_LANGUAGE
SEC-18,none
SEC-19,PROTECTED_CLASS_LANGUAGE
SEC-20,none
SEC-21,DISCLAIMER_MISSING
SEC-22,PROTECTED_CLASS_LANGUAGE
SEC-23,PROTECTED_CLASS_LANGUAGE|DISCLAIMER_MISSING
SEC-24,PROHIBITED_PERSONAL_NARRATIVE
SEC-25,PROTECTED_CLASS_LANGUAGE
SEC-26,none
SEC-27,PROHIBITED_PERSONAL_NARRATIVE
SEC-28,none
SEC-29,PROHIBITED_PERSONAL_NARRATIVE
SEC-30,DISCLAIMER_MISSING
