section_id,finding
SEC-CH1,none
SEC-AN-05,MARGIN_NONCOMPLIANT
SEC-TITLE,none
SEC-AN-01,none
SEC-CH7,MARGIN_NONCOMPLIANT
SEC-ABSTRACT,MARGIN_NONCOMPLIANT
SEC-AN-07,MARGIN_NONCOMPLIANT
SEC-LOT,none
SEC-CH3,FONT_NONCOMPLIANT
SEC-REF,none
SEC-AN-04,none
SEC-DECL,none
SEC-AN-09,FONT_NONCOMPLIANT
SEC-CH5,SPACING_NONCOMPLIANT
SEC-TOC,none
SEC-AN-06,MARGIN_NONCOMPLIANT
SEC-CH2,MARGIN_NONCOMPLIANT
SEC-GLOSSARY,MARGIN_NONCOMPLIANT
SEC-AN-02,none
SEC-CH9,FONT_NONCOMPLIANT
SEC-ACK,MARGIN_NONCOMPLIANT
SEC-CH10,none
SEC-AN-08,SPACING_NONCOMPLIANT
SEC-CH4,FONT_NONCOMPLIANT|SPACING_NONCOMPLIANT
SEC-LOF,SPACING_NONCOMPLIANT
SEC-CH6,none
SEC-BIO,MARGIN_NONCOMPLIANT
SEC-AN-03,FONT_NONCOMPLIANT
SEC-CH8,MARGIN_NONCOMPLIANT|FONT_NONCOMPLIANT|SPACING_NONCOMPLIANT
SEC-AN-10,none
