item_id,item_type,zone_id,permit_no,egress_clearance_ft,size_sqft,installed_on
COL-01,installed_signage,ZN-01,PMT-1010,6,12,2026-08-14
COL-02,installed_signage,ZN-01,PMT-1010,5.9,11,2026-08-14
COL-03,installed_signage,ZN-01,PMT-1010,7,12.5,2026-08-14
COL-04,installed_signage,ZN-01,PMT-1014,7,10,2026-08-14
COL-05,installed_signage,ZN-01,PMT-1002,7,9,2026-08-14
COL-06,temporary_banner,ZN-01,PMT-1010,7,8,2026-08-14
COL-07,standalone_graphic,ZN-01,none,1,40,2026-08-14
COL-08,installed_signage,ZN-02,PMT-1002,4,16,2026-08-14
COL-09,installed_signage,ZN-02,PMT-1002,3.9,15,2026-08-14
COL-10,installed_signage,ZN-02,PMT-1004,5,14,2026-08-14
COL-11,temporary_banner,ZN-02,PMT-1013,5,15,2026-08-14
COL-12,temporary_banner,ZN-02,PMT-1002,5,12,2026-08-14
COL-13,installed_signage,ZN-02,PMT-1001,5,16.5,2026-08-14
COL-14,vehicle_wrap,ZN-02,none,0,60,2026-08-14
COL-15,installed_signage,ZN-03,PMT-1006,4,8,2026-08-14
COL-16,installed_signage,ZN-03,PMT-1004,4.5,7.5,2026-08-14
COL-17,temporary_banner,ZN-03,PMT-1004,4.5,7,2026-08-14
COL-18,installed_signage,ZN-03,PMT-1006,3.5,8.5,2026-08-14
COL-19,installed_signage,ZN-03,PMT-1006,4.5,7,2026-08-14
COL-20,installed_signage,ZN-03,PMT-1006,4.5,7,2026-08-14
COL-21,installed_signage,ZN-03,PMT-1006,4.5,6.5,2026-08-14
COL-22,standalone_graphic,ZN-03,none,1,30,2026-08-14
COL-23,installed_signage,ZN-04,PMT-1003,8,10,2026-08-14
COL-24,installed_signage,ZN-04,PMT-1014,8,10,2026-08-14
COL-25,installed_signage,ZN-04,PMT-1014,7.9,9,2026-08-14
COL-26,installed_signage,ZN-04,PMT-1014,9,10.5,2026-08-14
COL-27,temporary_banner,ZN-04,PMT-1014,9,9.5,2026-08-14
COL-28,installed_signage,ZN-04,PMT-1001,9,9,2026-08-14
COL-29,temporary_banner,ZN-05,PMT-1009,5,6,2026-08-14
COL-30,installed_signage,ZN-05,PMT-1009,5.5,5.5,2026-08-14
COL-31,installed_signage,ZN-05,PMT-1005,5.5,5,2026-08-14
COL-32,temporary_banner,ZN-05,PMT-1009,4.9,5,2026-08-14
COL-33,installed_signage,ZN-05,PMT-1001,5.5,6.5,2026-08-14
COL-34,temporary_banner,ZN-05,PMT-1009,5.5,6,2026-08-14
COL-35,installed_signage,ZN-06,PMT-1007,6,14,2026-08-14
COL-36,installed_signage,ZN-06,PMT-1001,6,14,2026-08-14
COL-37,installed_signage,ZN-06,PMT-1001,5.9,13,2026-08-14
COL-38,installed_signage,ZN-06,PMT-1001,6.5,14.5,2026-08-14
COL-39,temporary_banner,ZN-06,PMT-1001,6.5,13.5,2026-08-14
COL-40,installed_signage,ZN-06,PMT-1008,6.5,12,2026-08-14
COL-41,standalone_graphic,ZN-06,none,1,25,2026-08-14
COL-42,installed_signage,ZN-07,PMT-1011,3,20,2026-08-14
COL-43,installed_signage,ZN-07,PMT-1011,2.9,19,2026-08-14
COL-44,installed_signage,ZN-07,PMT-1011,3.5,20.5,2026-08-14
COL-45,installed_signage,ZN-07,PMT-1011,3.5,18,2026-08-14
COL-46,temporary_banner,ZN-07,PMT-1011,3.5,17,2026-08-14
COL-47,vehicle_wrap,ZN-07,none,0,80,2026-08-14
COL-48,temporary_banner,ZN-08,PMT-1012,3,10,2026-08-14
COL-49,installed_signage,ZN-08,PMT-1012,3.5,9,2026-08-14
COL-50,installed_signage,ZN-08,PMT-1011,2.9,9.5,2026-08-14
COL-51,installed_signage,ZN-08,PMT-1011,3.5,10.5,2026-08-14
COL-52,temporary_banner,ZN-08,PMT-1012,3.5,9,2026-08-14
COL-53,installed_signage,ZN-08,PMT-1011,3.5,9,2026-08-14
COL-54,installed_signage,ZN-08,none,3.5,8,2026-08-14
COL-55,standalone_graphic,ZN-08,none,1,20,2026-08-14
COL-56,installed_signage,ZN-03,PMT-1006,4.5,6,2026-08-14
COL-57,installed_signage,ZN-06,PMT-1001,6.5,13,2026-08-14
COL-58,installed_signage,ZN-02,PMT-1001,5,15,2026-08-14
COL-59,installed_signage,ZN-07,PMT-1011,3.5,16,2026-08-14
COL-60,temporary_banner,ZN-01,PMT-1010,6.5,7,2026-08-14
COL-61,temporary_banner,ZN-02,PMT-1002,4.5,11,2026-08-14
COL-62,temporary_banner,ZN-03,PMT-1006,4.5,6,2026-08-14
COL-63,temporary_banner,ZN-07,PMT-1011,3.5,15,2026-08-14
COL-64,temporary_banner,ZN-08,PMT-1011,3.5,8,2026-08-14
COL-65,installed_signage,ZN-05,PMT-1009,5.5,4.5,2026-08-14
COL-66,installed_signage,ZN-02,PMT-1013,4.5,10,2026-08-14
