item_id,finding
COL-01,none
COL-02,EGRESS_MARKER_OBSTRUCTED
COL-03,OVERSIZE_COLLATERAL
COL-04,none
COL-05,PERMIT_NUMBER_MISSING
COL-06,PERMIT_NUMBER_MISSING
COL-08,none
COL-09,EGRESS_MARKER_OBSTRUCTED
COL-10,PERMIT_NUMBER_MISSING
COL-11,none
COL-12,PERMIT_NUMBER_MISSING
COL-13,OVERSIZE_COLLATERAL
COL-15,OVERSIZE_COLLATERAL
COL-16,OVERSIZE_COLLATERAL
COL-17,PERMIT_NUMBER_MISSING
COL-18,EGRESS_MARKER_OBSTRUCTED|OVERSIZE_COLLATERAL
COL-19,none
COL-20,none
COL-21,none
COL-23,PERMIT_NUMBER_MISSING
COL-24,none
COL-25,EGRESS_MARKER_OBSTRUCTED
COL-26,OVERSIZE_COLLATERAL
COL-27,none
COL-28,none
COL-29,none
COL-30,PERMIT_NUMBER_MISSING
COL-31,PERMIT_NUMBER_MISSING
COL-32,EGRESS_MARKER_OBSTRUCTED
COL-33,OVERSIZE_COLLATERAL
COL-34,none
COL-35,PERMIT_NUMBER_MISSING
COL-36,none
COL-37,EGRESS_MARKER_OBSTRUCTED
COL-38,OVERSIZE_COLLATERAL
COL-39,none
COL-40,PERMIT_NUMBER_MISSING
COL-42,OVERSIZE_COLLATERAL
COL-43,EGRESS_MARKER_OBSTRUCTED
COL-44,OVERSIZE_COLLATERAL
COL-45,none
COL-46,PERMIT_NUMBER_MISSING
COL-48,OVERSIZE_COLLATERAL
COL-49,PERMIT_NUMBER_MISSING
COL-50,EGRESS_MARKER_OBSTRUCTED|OVERSIZE_COLLATERAL
COL-51,OVERSIZE_COLLATERAL
COL-52,none
COL-53,none
COL-54,PERMIT_NUMBER_MISSING
COL-56,none
COL-57,none
COL-58,none
COL-59,none
COL-60,PERMIT_NUMBER_MISSING
COL-61,PERMIT_NUMBER_MISSING
COL-62,PERMIT_NUMBER_MISSING
COL-63,PERMIT_NUMBER_MISSING
COL-64,PERMIT_NUMBER_MISSING
COL-65,PERMIT_NUMBER_MISSING
COL-66,PERMIT_NUMBER_MISSING
