account_id,account_type,request_count,flagged_requests,escalation
ACC-01,consumer,6,3,none
ACC-02,studio_partner,6,4,ESCALATION_REQUIRED
ACC-03,press_agency,6,3,ESCALATION_REQUIRED
ACC-04,studio_partner,4,2,none
ACC-05,press_agency,6,4,ESCALATION_REQUIRED
ACC-06,studio_partner,6,3,none
ACC-07,consumer,5,3,none
ACC-08,press_agency,5,3,ESCALATION_REQUIRED
ACC-09,studio_partner,5,3,none
ACC-10,consumer,4,2,none
ACC-11,press_agency,4,4,ESCALATION_REQUIRED
ACC-12,studio_partner,5,4,ESCALATION_REQUIRED
