request_id,finding
REQ-01,none
REQ-02,COMMERCIAL_DISTRIBUTION_FLAG
REQ-03,none
REQ-04,THIRD_PARTY_BACKGROUND_UNLICENSED
REQ-05,UNLICENSED_CHARACTER_USE|THIRD_PARTY_BACKGROUND_UNLICENSED|MISSING_MINOR_CONSENT
REQ-06,ALTERATION_DISCLOSURE_MISSING
REQ-07,ALTERATION_DISCLOSURE_MISSING
REQ-08,none
REQ-09,UNLICENSED_CHARACTER_USE
REQ-10,UNLICENSED_CHARACTER_USE|THIRD_PARTY_BACKGROUND_UNLICENSED|ALTERATION_DISCLOSURE_MISSING
REQ-11,none
REQ-12,none
REQ-14,MISSING_MINOR_CONSENT|COMMERCIAL_DISTRIBUTION_FLAG
REQ-15,none
REQ-17,UNLICENSED_CHARACTER_USE
REQ-18,none
REQ-19,none
REQ-20,COMMERCIAL_DISTRIBUTION_FLAG
REQ-21,UNLICENSED_CHARACTER_USE
REQ-22,none
REQ-23,THIRD_PARTY_BACKGROUND_UNLICENSED|COMMERCIAL_DISTRIBUTION_FLAG
REQ-24,none
REQ-25,none
REQ-27,UNLICENSED_CHARACTER_USE|COMMERCIAL_DISTRIBUTION_FLAG
REQ-28,THIRD_PARTY_BACKGROUND_UNLICENSED
REQ-29,none
REQ-30,UNLICENSED_CHARACTER_USE|COMMERCIAL_DISTRIBUTION_FLAG|ALTERATION_DISCLOSURE_MISSING
REQ-32,MISSING_MINOR_CONSENT
REQ-33,none
REQ-34,UNLICENSED_CHARACTER_USE
REQ-35,UNLICENSED_CHARACTER_USE
REQ-36,THIRD_PARTY_BACKGROUND_UNLICENSED
REQ-37,none
REQ-39,none
REQ-40,COMMERCIAL_DISTRIBUTION_FLAG
REQ-41,none
REQ-42,MISSING_MINOR_CONSENT|COMMERCIAL_DISTRIBUTION_FLAG
REQ-43,COMMERCIAL_DISTRIBUTION_FLAG
REQ-44,COMMERCIAL_DISTRIBUTION_FLAG
REQ-45,COMMERCIAL_DISTRIBUTION_FLAG
REQ-46,ALTERATION_DISCLOSURE_MISSING
REQ-48,none
REQ-49,UNLICENSED_CHARACTER_USE
REQ-50,COMMERCIAL_DISTRIBUTION_FLAG|ALTERATION_DISCLOSURE_MISSING
REQ-51,THIRD_PARTY_BACKGROUND_UNLICENSED
REQ-52,none
REQ-53,MISSING_MINOR_CONSENT|COMMERCIAL_DISTRIBUTION_FLAG
REQ-54,UNLICENSED_CHARACTER_USE
REQ-55,none
REQ-56,none
REQ-57,UNLICENSED_CHARACTER_USE
REQ-59,none
REQ-60,THIRD_PARTY_BACKGROUND_UNLICENSED
REQ-61,ALTERATION_DISCLOSURE_MISSING
REQ-62,COMMERCIAL_DISTRIBUTION_FLAG
REQ-63,none
REQ-64,none
REQ-65,COMMERCIAL_DISTRIBUTION_FLAG
REQ-66,COMMERCIAL_DISTRIBUTION_FLAG
REQ-67,none
REQ-68,COMMERCIAL_DISTRIBUTION_FLAG
REQ-69,THIRD_PARTY_BACKGROUND_UNLICENSED|COMMERCIAL_DISTRIBUTION_FLAG
