request_id,finding
REQ-01,none
REQ-02,COMMERCIAL_DISTRIBUTION_FLAG
REQ-03,none
REQ-04,THIRD_PARTY_BACKGROUND_UNLICENSED
REQ-05,UNLICENSED_CHARACTER_USE|THIRD_PARTY_BACKGROUND_UNLICENSED|MISSING_MINOR_CONSENT
REQ-06,ALTERATION_DISCLOSURE_MISSING
REQ-07,none
REQ-08,none
REQ-09,UNLICENSED_CHARACTER_USE
REQ-10,UNLICENSED_CHARACTER_USE|THIRD_PARTY_BACKGROUND_UNLICENSED|ALTERATION_DISCLOSURE_MISSING
REQ-11,none
REQ-12,none
REQ-14,MISSING_MINOR_CONSENT|COMMERCIAL_DISTRIBUTION_FLAG
REQ-15,none
REQ-17,UNLICENSED_CHARACTER_USE
REQ-18,none
REQ-19,none
REQ-20,COMMERCIAL_DISTRIBUTION_FLAG
REQ-21,none
REQ-22,none
REQ-23,THIRD_PARTY_BACKGROUND_UNLICENSED|COMMERCIAL_DISTRIBUTION_FLAG
REQ-24,none
REQ-25,none
REQ-27,UNLICENSED_CHARACTER_USE|COMMERCIAL_DISTRIBUTION_FLAG
REQ-28,THIRD_PARTY_BACKGROUND_UNLICENSED
REQ-29,none
REQ-30,UNLICENSED_CHARACTER_USE|COMMERCIAL_DISTRIBUTION_FLAG|ALTERATION_DISCLOSURE_MISSING
REQ-32,MISSING_MINOR_CONSENT
